Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
AACI,Armada Acquisition Corp. I Common Stock,$9.86,0,0.00%,204195670,1,,,
AACIU,Armada Acquisition Corp. I Unit,$9.83,-0.01,-0.102%,0,3003,,,
AACIW,Armada Acquisition Corp. I Warrant,$0.3182,-0.0018,-0.563%,0,7942,,,
AADI,Aadi Bioscience Inc. Common Stock,$17.21,-0.21,-1.206%,359586239,86866,Health Care,Biotechnology: Pharmaceutical Preparations,
AAL,American Airlines Group Inc. Common Stock,$15.57,1.32,9.263%,10107423022,76269540,Transportation,Air Freight/Delivery Services,
AAME,Atlantic American Corporation Common Stock,$2.35,0.08,3.524%,47889654,15801,Finance,Life Insurance,
AAOI,Applied Optoelectronics Inc. Common Stock,$3.14,0.12,3.974%,86375748,144218,Technology,Semiconductors,
AAON,AAON Inc. Common Stock,$54.20,1.37,2.593%,2847089144,333904,Capital Goods,Industrial Machinery/Components,
AAPL,Apple Inc. Common Stock,$155.09,4.47,2.968%,2688848060600,92862517,Technology,Computer Manufacturing,
AATC,Autoscope Technologies Corporation Common Stock,$6.43,0.02,0.312%,34543362,10654,Capital Goods,Industrial Machinery/Components,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$84.21,3.27,4.04%,2460254265,779815,Transportation,Transportation Services,
ABCB,Ameris Bancorp Common Stock,$47.25,0.18,0.382%,3292233053,366470,Finance,Major Banks,
ABEO,Abeona Therapeutics Inc. Common Stock,$0.2586,-0.022,-7.84%,37915393,1702689,Health Care,Biotechnology: Pharmaceutical Preparations,
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$9.76,0,0.00%,188685688,108,Finance,Business Services,
ABIO,ARCA biopharma Inc. Common Stock,$2.16,0.06,2.857%,31125909,180328,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ABMD,ABIOMED Inc. Common Stock,$289.64,12.09,4.356%,13183312168,242007,Health Care,Medical/Dental Instruments,
ABNB,Airbnb Inc. Class A Common Stock,$143.95,5.45,3.935%,85851637058,5485917,Transportation,Other Consumer Services,
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$5.46,0.17,3.214%,220967964,148632,Health Care,Biotechnology: Pharmaceutical Preparations,
ABSI,Absci Corporation Common Stock,$8.13,0.65,8.69%,752768667,485913,Health Care,Biotechnology: Pharmaceutical Preparations,
ABTX,Allegiance Bancshares Inc. Common Stock,$44.58,-0.06,-0.134%,907971203,54368,Finance,Major Banks,
ABVC,ABVC BioPharma Inc. Common Stock,$2.21,-0.11,-4.741%,63226747,59172,Health Care,Biotechnology: Pharmaceutical Preparations,
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$9.88,0,0.00%,0,2,,,
ACABU,Atlantic Coastal Acquisition Corp. II Unit,$9.9596,-0.0204,-0.204%,0,62165,,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$23.05,0.78,3.502%,3715746391,1571578,Health Care,Biotechnology: Pharmaceutical Preparations,
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$9.77,0.01,0.102%,421331250,166528,,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$9.88,0.0437,0.444%,0,100,,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.2712,0.0012,0.444%,0,32355,,,
ACAXU,Alset Capital Acquisition Corp. Unit,$9.95,0,0.00%,0,17,,,
ACCD,Accolade Inc. Common Stock,$14.13,1.21,9.365%,946121909,698886,,,
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.36,-0.01,-0.422%,33772176,27432,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACET,Adicet Bio Inc. Common Stock ,$12.97,0.68,5.533%,254080069,532657,Health Care,Biotechnology: Pharmaceutical Preparations,
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$10.04,0.01,0.10%,140080861,19328,Technology,Semiconductors,
ACEVW,ACE Convergence Acquisition Corp. Warrant,$0.55,0.0128,2.383%,0,5500,Technology,Semiconductors,
ACHC,Acadia Healthcare Company Inc. Common Stock,$64.34,0.11,0.171%,5784291463,365924,Health Care,Hospital/Nursing Management,
ACHV,Achieve Life Sciences Inc. Common Shares,$6.35,0.05,0.794%,60076302,34792,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ACIW,ACI Worldwide Inc. Common Stock,$31.99,0.49,1.556%,3680886387,485310,Technology,EDP Services,
ACKIT,Ackrell SPAC Partners I Co. Subunits,$10.20,0,0.00%,0,45,,,
ACKIU,Ackrell SPAC Partners I Co. Units,$10.38,0,0.00%,0,21,,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,$0.37,0.015,4.225%,0,1297,,,
ACLS,Axcelis Technologies Inc. Common Stock,$64.43,5.26,8.89%,2142379906,529177,Technology,Industrial Machinery/Components,
ACLX,Arcellx Inc. Common Stock,$17.02,0.67,4.098%,591973199,117507,Health Care,Biotechnology: Pharmaceutical Preparations,
ACMR,ACM Research Inc. Class A Common Stock,$47.30,1.23,2.67%,926077051,1141641,Technology,Industrial Machinery/Components,
ACNB,ACNB Corporation Common Stock,$32.60,-0.06,-0.184%,282942116,45586,Finance,Major Banks,
ACOR,Acorda Therapeutics Inc. Common Stock,$1.67,-0.12,-6.704%,18707744,156057,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACQR,Independence Holdings Corp. Class A Ordinary Share,$9.74,0,0.00%,602962229,16790,Finance,Business Services,
ACQRU,Independence Holdings Corp. Units,$9.80,0,0.00%,0,3802,Finance,Business Services,
ACQRW,Independence Holdings Corp. Warrant,$0.3936,-0.0374,-8.677%,0,77569,Finance,Business Services,
ACRS,Aclaris Therapeutics Inc. Common Stock,$15.20,0.8,5.556%,931380502,515523,Health Care,Biotechnology: Commercial Physical & Biological Resarch,
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$0.3078,-0.0121,-3.782%,45231001,900865,Consumer Durables,Specialty Chemicals,
ACT,Enact Holdings Inc. Common Stock,$21.25,0.01,0.047%,3460375585,90686,Finance,Specialty Insurers,
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,$9.91,0.04,0.405%,385453226,139188,,,
ACTDU,ArcLight Clean Transition Corp. II Unit,$10.09,0.02,0.199%,0,848,,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,$1.15,-0.02,-1.709%,0,1019,Finance,Business Services,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.70,0.35,10.448%,183489852,283048,Miscellaneous,Multi-Sector Companies,
ACVA,ACV Auctions Inc. Class A Common Stock,$12.91,0.68,5.56%,2017401199,810348,Technology,EDP Services,
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$3.73,0.01,0.269%,38104904,7540,Health Care,Biotechnology: Pharmaceutical Preparations,
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$9.91,-0.01,-0.101%,299158125,4059,,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.0502,0,0.00%,0,1,,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,$0.29,-0.04,-12.121%,0,5911,,,
ADBE,Adobe Inc. Common Stock,$421.66,10.16,2.469%,199171408390,3201111,Technology,Computer Software: Prepackaged Software,
ADER,26 Capital Acquisition Corp. Class A Common Stock,$9.80,-0.05,-0.508%,336875000,95993,,,
ADERU,26 Capital Acquisition Corp. Unit,$10.07,0,0.00%,0,55,,,
ADERW,26 Capital Acquisition Corp. Warrant,$0.50,0.03,6.383%,0,16206,,,
ADES,Advanced Emissions Solutions Inc. Common Stock,$5.82,-0.03,-0.513%,109654620,94841,Basic Industries,Industrial Specialties,
ADGI,Adagio Therapeutics Inc. Common Stock,$4.73,0.08,1.72%,526220352,793246,Health Care,Biotechnology: Pharmaceutical Preparations,
ADI,Analog Devices Inc. Common Stock,$150.92,5.29,3.632%,78978719420,3307862,Technology,Semiconductors,
ADIL,Adial Pharmaceuticals Inc Common Stock,$1.83,0.03,1.667%,43405700,69178,Health Care,Biotechnology: Pharmaceutical Preparations,
ADMA,ADMA Biologics Inc Common Stock,$1.55,-0.11,-6.627%,303511416,2276346,Health Care,Biotechnology: Pharmaceutical Preparations,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.5546,-0.0354,-6.00%,82572254,870884,Health Care,Biotechnology: Pharmaceutical Preparations,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$2.86,-0.03,-1.038%,58453275,358358,,,
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.51,-0.05,-8.929%,0,25893,,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.14,0,0.00%,55539234,51,Finance,Business Services,
ADOCW,Edoc Acquisition Corp. Warrant,$0.0828,0.0027,3.371%,0,7500,Finance,Business Services,
ADP,Automatic Data Processing Inc. Common Stock,$212.31,5.31,2.565%,89179810212,2220155,Miscellaneous,Business Services,
ADPT,Adaptive Biotechnologies Corporation Common Stock,$10.75,0.63,6.225%,1522024990,2321800,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADSK,Autodesk Inc. Common Stock,$192.43,3.73,1.977%,42329484633,1696692,Technology,Computer Software: Prepackaged Software,
ADTH,AdTheorent Holding Company Inc. Common Stock,$9.46,0.25,2.714%,811138183,291093,Technology,Advertising,
ADTHW,AdTheorent Holding Company Inc. Warrants,$1.47,0.06,4.255%,0,87731,Technology,Advertising,
ADTN,ADTRAN Inc. Common Stock,$19.45,0.33,1.726%,955339810,333494,Capital Goods,Telecommunications Equipment,
ADTX,Aditxt Inc. Common Stock,$0.356,0.0111,3.218%,15664000,240175,Consumer Durables,Specialty Chemicals,
ADUS,Addus HomeCare Corporation Common Stock,$75.92,1.42,1.906%,1211075916,61757,Health Care,Medical/Nursing Services,
ADV,Advantage Solutions Inc. Class A Common Stock,$6.02,-0.08,-1.311%,1915064966,256961,Technology,Advertising,
ADVM,Adverum Biotechnologies Inc. Common Stock,$1.23,0,0.00%,120727071,674991,Health Care,Biotechnology: Pharmaceutical Preparations,
ADVWW,Advantage Solutions Inc. Warrant,$0.74,-0.0198,-2.606%,0,3467,Technology,Advertising,
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$9.78,0,0.00%,293400000,53093,Finance,Business Services,
AEACU,Authentic Equity Acquisition Corp. Unit,$9.90,-0.02,-0.202%,0,105250,Finance,Business Services,
AEACW,Authentic Equity Acquisition Corp. Warrant,$0.27,-0.02,-6.897%,0,17986,Finance,Business Services,
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$9.935,0.015,0.151%,0,250001,,,
AEAEU,AltEnergy Acquisition Corp. Unit,$9.91,-0.07,-0.701%,0,5000,,,
AEAEW,AltEnergy Acquisition Corp. Warrant,$0.2665,-0.0329,-10.989%,0,3000,,,
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,$10.06,0,0.00%,133043500,17620,,,
AEHAW,Aesther Healthcare Acquisition Corp Warrants,$0.25,0,0.00%,0,800,,,
AEHR,Aehr Test Systems Common Stock,$9.34,0.28,3.091%,250702589,811103,Capital Goods,Electrical Products,
AEI,Alset EHome International Inc. Common Stock,$0.4215,-0.0587,-12.224%,42389600,11786953,Consumer Services,Building operators,
AEIS,Advanced Energy Industries Inc. Common Stock,$82.74,4.32,5.509%,3116785600,140592,Consumer Durables,Electrical Products,
AEMD,Aethlon Medical Inc. Common Stock,$1.23,0.02,1.653%,18952124,53538,Miscellaneous,Diversified Commercial Services,
AEP,American Electric Power Company Inc. Common Stock,$96.11,1.37,1.446%,48459816762,3673650,Public Utilities,Electric Utilities: Central,
AEPPZ,American Electric Power Company Inc. Corporate Units,$55.43,0.66,1.205%,0,48331,Public Utilities,Electric Utilities: Central,
AERC,AeroClean Technologies Inc. Common Stock,$3.42,-0.28,-7.568%,47461515,147188,Public Utilities,Environmental Services,
AERI,Aerie Pharmaceuticals Inc. Common Stock,$8.23,-0.03,-0.363%,398265123,694188,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AESE,Allied Esports Entertainment Inc. Common Stock,$1.63,-0.05,-2.976%,63801308,329992,Consumer Services,Television Services,
AEY,ADDvantage Technologies Group Inc. Common Stock,$1.17,0.01,0.862%,15244079,23948,Capital Goods,Recreational Products/Toys,
AEYE,AudioEye Inc. Common Stock,$6.20,0.27,4.553%,70897000,104419,Technology,EDP Services,
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,$9.96,0,0.00%,214762500,166,Consumer Services,Other Pharmaceuticals,
AFACU,Arena Fortify Acquisition Corp. Unit,$10.15,0,0.00%,0,9,Consumer Services,Other Pharmaceuticals,
AFACW,Arena Fortify Acquisition Corp. Warrant,$0.219,0,0.00%,0,1,Consumer Services,Other Pharmaceuticals,
AFAQ,AF Acquisition Corp. Class A Common Stock,$9.70,-0.02,-0.206%,271600000,12151,,,
AFAQU,AF Acquisition Corp. Units,$9.77,0,0.00%,0,5091,,,
AFAQW,AF Acquisition Corp. Warrants,$0.2001,-0.0032,-1.574%,0,7275,,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),$14.91,0.1,0.675%,102470973,6044,Finance,Major Banks,
AFCG,AFC Gamma Inc. Common Stock,$19.41,0.11,0.57%,383210465,84928,Consumer Services,Real Estate Investment Trusts,
AFIB,Acutus Medical Inc. Common Stock,$1.57,-0.08,-4.848%,43886128,319633,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
AFRM,Affirm Holdings Inc. Class A Common Stock,$28.33,2.11,8.047%,8058666102,11406418,Technology,EDP Services,
AGEN,Agenus Inc. Common Stock,$2.66,0.04,1.527%,684029268,3991546,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AGFS,AgroFresh Solutions Inc. Common Stock,$1.98,-0.03,-1.493%,103786432,35499,,,
AGFY,Agrify Corporation Common Stock,$4.62,-0.52,-10.117%,114563720,2202545,Consumer Services,Military/Government/Technical,
AGGR,Agile Growth Corp. Class A Ordinary Share,$9.73,0,0.00%,377037500,15765,Finance,Business Services,
AGGRU,Agile Growth Corp. Units,$9.84,-0.02,-0.203%,0,6696,Finance,Business Services,
AGGRW,Agile Growth Corp. Warrant.,$0.4189,-0.0311,-6.911%,0,2196,Finance,Business Services,
AGIL,AgileThought Inc. Class A Common Stock,$5.02,-0.08,-1.569%,252406825,45994,Technology,EDP Services,
AGILW,AgileThought Inc. Warrant,$0.3906,-0.0094,-2.35%,0,19700,Technology,EDP Services,
AGIO,Agios Pharmaceuticals Inc. Common Stock,$27.18,0.5,1.874%,1485047277,527818,Health Care,Biotechnology: Pharmaceutical Preparations,
AGLE,Aeglea BioTherapeutics Inc. Common Stock,$1.87,-0.02,-1.058%,92307090,372534,Health Care,Biotechnology: Pharmaceutical Preparations,
AGNC,AGNC Investment Corp. Common Stock,$12.90,0.13,1.018%,6736686917,9104762,Consumer Services,Real Estate Investment Trusts,
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$24.49,0.11,0.451%,0,3659,Consumer Services,Real Estate Investment Trusts,
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$24.44,0.29,1.201%,0,19851,Consumer Services,Real Estate Investment Trusts,
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$24.02,0.12,0.502%,0,16412,Consumer Services,Real Estate Investment Trusts,
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$23.19,0.16,0.695%,0,21384,Consumer Services,Real Estate Investment Trusts,
AGRX,Agile Therapeutics Inc. Common Stock,$0.2401,0.0027,1.137%,29147188,1121489,Health Care,Biotechnology: Pharmaceutical Preparations,
AGTC,Applied Genetic Technologies Corporation Common Stock,$1.62,0.03,1.887%,69532537,149205,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AGYS,Agilysys Inc. Common Stock (DE),$38.40,0.45,1.186%,949030349,75940,Technology,Computer Software: Prepackaged Software,
AHCO,AdaptHealth Corp. Common Stock,$16.05,0.71,4.628%,2149232966,594762,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,$10.01,0,0.00%,287787500,17489,,,
AHPAU,Avista Public Acquisition Corp. II Unit,$10.03,-0.05,-0.496%,0,207,,,
AHPAW,Avista Public Acquisition Corp. II Warrant,$0.3688,0.0622,20.287%,0,2700,,,
AHPI,Allied Healthcare Products Inc. Common Stock,$3.35,0.57,20.504%,13445349,693162,Health Care,Industrial Specialties,
AIB,AIB Acquisition Corporation Class A Ordinary Shares,$9.88,0,0.00%,111171983,247568,,,
AIBBR,AIB Acquisition Corporation Right,$0.15,-0.0474,-24.012%,0,2400,,,
AIBBU,AIB Acquisition Corporation Unit,$9.99,-0.058,-0.577%,0,187500,,,
AIKI,AIkido Pharma Inc. Common Stock,$0.3769,-0.0047,-1.232%,33800824,419681,Consumer Durables,Specialty Chemicals,
AIMC,Altra Industrial Motion Corp. Common Stock,$38.85,0.24,0.622%,2527545918,300970,Capital Goods,Industrial Machinery/Components,
AINV,Apollo Investment Corporation Common Stock,$13.12,-0.11,-0.831%,835051789,427190,Finance,Finance/Investors Services,
AIP,Arteris Inc. Common Stock,$12.72,0.81,6.801%,402069317,43509,Technology,Semiconductors,
AIRG,Airgain Inc. Common Stock,$7.62,0.1,1.33%,76939140,33574,Technology,Radio And Television Broadcasting And Communications Equipment,
AIRS,AirSculpt Technologies Inc. Common Stock,$12.50,0.66,5.574%,695501925,262896,Health Care,Hospital/Nursing Management,
AIRT,Air T Inc. Common Stock,$20.91,0.51,2.50%,60157087,26789,Transportation,Air Freight/Delivery Services,
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,$23.3899,0.3699,1.607%,0,298,Transportation,Air Freight/Delivery Services,
AKAM,Akamai Technologies Inc. Common Stock,$110.43,2.35,2.174%,17707081222,1522511,Miscellaneous,Business Services,
AKBA,Akebia Therapeutics Inc. Common Stock,$2.30,-0.09,-3.766%,416831463,6122293,Health Care,Biotechnology: Pharmaceutical Preparations,
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,$9.835,0.005,0.051%,289247350,399,Finance,Business Services,
AKICU,Sports Ventures Acquisition Corp. Unit,$10.11,0,0.00%,0,3,Finance,Business Services,
AKICW,Sports Ventures Acquisition Corp. Warrant,$1.10,0,0.00%,0,500,Finance,Business Services,
AKRO,Akero Therapeutics Inc. Common Stock,$12.97,-0.25,-1.891%,454117767,152210,Health Care,Biotechnology: Pharmaceutical Preparations,
AKTS,Akoustis Technologies Inc. Common Stock,$5.30,-0.07,-1.304%,289763540,493263,Public Utilities,Telecommunications Equipment,
AKU,Akumin Inc. Common Shares,$0.93,0.0101,1.098%,82795107,76320,,,
AKUS,Akouos Inc. Common Stock,$4.16,-0.09,-2.118%,143494607,89225,Consumer Durables,Specialty Chemicals,
AKYA,Akoya BioSciences Inc. Common Stock,$11.19,0.45,4.19%,416355539,66736,Capital Goods,Medical Specialities,
ALBO,Albireo Pharma Inc. Common Stock,$29.67,-0.62,-2.047%,574467514,222692,Health Care,Biotechnology: Pharmaceutical Preparations,
ALCO,Alico Inc. Common Stock,$34.04,0.2,0.591%,256845859,48662,,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,$3.85,0.1,2.667%,223654604,868145,Health Care,Biotechnology: Pharmaceutical Preparations,
ALEC,Alector Inc. Common Stock,$13.02,-0.49,-3.627%,1068157857,666467,Health Care,Biotechnology: Pharmaceutical Preparations,
ALF,ALFI Inc. Common Stock,$1.52,0.04,2.703%,24584972,146328,Technology,EDP Services,
ALFIW,ALFI Inc. Warrant,$0.43,0.0399,10.228%,0,3191,Technology,EDP Services,
ALGM,Allegro MicroSystems Inc. Common Stock,$25.91,0.83,3.309%,4920666662,425086,Technology,Semiconductors,
ALGN,Align Technology Inc. Common Stock,$390.73,12.64,3.343%,30787763371,1708625,Health Care,Industrial Specialties,
ALGS,Aligos Therapeutics Inc. Common Stock,$2.36,-0.09,-3.673%,100758156,160150,Health Care,Biotechnology: Pharmaceutical Preparations,
ALGT,Allegiant Travel Company Common Stock,$148.41,6.85,4.839%,2688006075,281554,Transportation,Air Freight/Delivery Services,
ALHC,Alignment Healthcare Inc. Common Stock,$8.69,0.51,6.235%,1625612630,312095,Health Care,Medical Specialities,
ALIM,Alimera Sciences Inc. Common Stock,$5.25,0.13,2.539%,36425309,29051,Health Care,Biotechnology: Pharmaceutical Preparations,
ALJJ,ALJ Regional Holdings Inc. Common Stock,$2.53,0.09,3.689%,107294340,49993,Miscellaneous,Business Services,
ALKT,Alkami Technology Inc. Common Stock,$12.99,0.31,2.445%,1171972206,277508,Technology,EDP Services,
ALLK,Allakos Inc. Common Stock,$5.08,-0.02,-0.392%,277830341,952336,Health Care,Biotechnology: Pharmaceutical Preparations,
ALLO,Allogene Therapeutics Inc. Common Stock,$7.80,0.15,1.961%,1113465616,1602986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ALLR,Allarity Therapeutics Inc. Common Stock,$2.32,0.04,1.754%,18735912,89251,Health Care,Biotechnology: Pharmaceutical Preparations,
ALNA,Allena Pharmaceuticals Inc. Common Stock,$0.4349,0.0148,3.523%,37128976,374358,Health Care,Biotechnology: Pharmaceutical Preparations,
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$152.92,1.12,0.738%,18382589354,593433,Health Care,Biotechnology: Pharmaceutical Preparations,
ALORU,ALSP Orchid Acquisition Corporation I Unit,$10.00,0,0.00%,0,2500,,,
ALORW,ALSP Orchid Acquisition Corporation I Warrant,$0.20,-0.038,-15.966%,0,2800,,,
ALOT,AstroNova Inc. Common Stock,$14.52,-0.18,-1.224%,105363189,6490,Technology,Computer peripheral equipment,
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,$9.67,0,0.00%,191166336,2,,,
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,$0.71,0,0.00%,0,736,,,
ALPN,Alpine Immune Sciences Inc. Common Stock,$7.66,0.1,1.323%,223826548,95829,Health Care,Biotechnology: Pharmaceutical Preparations,
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,$1.27,0.01,0.794%,232742115,1481922,Capital Goods,Metal Fabrications,
ALR,AlerisLife Inc. Common Stock,$2.40,0,0.00%,78285070,17303,Health Care,Hospital/Nursing Management,
ALRM,Alarm.com Holdings Inc. Common Stock,$63.57,0.83,1.323%,3198770566,225871,Technology,Computer Software: Prepackaged Software,
ALRN,Aileron Therapeutics Inc. Common Stock,$0.4031,0.0331,8.946%,36510217,353987,Health Care,Biotechnology: Pharmaceutical Preparations,
ALRS,Alerus Financial Corporation Common Stock,$28.72,0.18,0.631%,494345527,17300,Finance,Commercial Banks,
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,$9.87,0,0.00%,145138350,3143,,,
ALSAR,Alpha Star Acquisition Corporation Rights,$0.19,-0.01,-5.00%,0,25000,,,
ALSAU,Alpha Star Acquisition Corporation Units,$10.11,-0.01,-0.099%,0,270,,,
ALSAW,Alpha Star Acquisition Corporation Warrants,$0.07,-0.0101,-12.609%,0,81408,,,
ALT,Altimmune Inc. Common Stock,$5.90,-0.53,-8.243%,234457888,1517429,Health Care,Biotechnology: Pharmaceutical Preparations,
ALTO,Alto Ingredients Inc. Common Stock,$5.47,-0.08,-1.441%,398101130,2342406,Basic Industries,Industrial Specialties,
ALTR,Altair Engineering Inc. Class A Common Stock,$59.52,0.11,0.185%,4721000813,339345,Technology,Computer Software: Prepackaged Software,
ALTU,Altitude Acquisition Corp. Class A Common Stock,$9.93,0,0.00%,372375000,307684,,,
ALTUU,Altitude Acquisition Corp. Unit,$9.98,0,0.00%,0,57,,,
ALTUW,Altitude Acquisition Corp. Warrant,$0.1242,0.0066,5.612%,0,80160,,,
ALVR,AlloVir Inc. Common Stock,$7.43,0.35,4.944%,465633441,229155,Health Care,Biotechnology: Pharmaceutical Preparations,
ALXO,ALX Oncology Holdings Inc. Common Stock,$16.60,0.81,5.13%,674472691,520404,Health Care,Biotechnology: Pharmaceutical Preparations,
ALZN,Alzamend Neuro Inc. Common Stock,$0.9101,-0.0413,-4.341%,80862711,410926,Consumer Durables,Specialty Chemicals,
AMAL,Amalgamated Financial Corp. Common Stock (DE),$18.15,-0.22,-1.198%,565012095,132925,Finance,Commercial Banks,
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,$10.07,-0.03,-0.297%,163209545,100,,,
AMAOU,American Acquisition Opportunity Inc. Units,$10.15,0.07,0.694%,0,100,,,
AMAOW,American Acquisition Opportunity Inc. Warrant,$0.18,-0.0149,-7.645%,0,50800,,,
AMAT,Applied Materials Inc. Common Stock,$124.41,4.28,3.563%,109903127038,6872551,Capital Goods,Industrial Machinery/Components,
AMBA,Ambarella Inc. Ordinary Shares,$87.81,5.75,7.007%,3249242211,772735,Technology,Semiconductors,
AMCI,AMCI Acquisition Corp. II Class A Common Stock,$9.74,-0.03,-0.307%,182625000,28721,,,
AMCIU,AMCI Acquisition Corp. II Units,$9.9722,0.0022,0.022%,0,1727,,,
AMCIW,AMCI Acquisition Corp. II Warrant,$0.48,0.03,6.667%,0,131077,,,
AMCX,AMC Networks Inc. Class A Common Stock,$38.81,-2.38,-5.778%,1644616441,858828,Consumer Services,Broadcasting,
AMD,Advanced Micro Devices Inc. Common Stock,$109.33,7.08,6.924%,177919812717,112349729,Technology,Semiconductors,
AMED,Amedisys Inc Common Stock,$151.63,8.31,5.798%,4931874772,270807,Health Care,Medical/Nursing Services,
AMEH,Apollo Medical Holdings Inc. Common Stock,$39.91,3.63,10.006%,1797170368,625471,Health Care,Managed Health Care,
AMGN,Amgen Inc. Common Stock,$231.56,2.35,1.025%,128985720917,3177806,Health Care,Biotechnology: Pharmaceutical Preparations,
AMKR,Amkor Technology Inc. Common Stock,$21.48,0.56,2.677%,5254298109,593801,Technology,Semiconductors,
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,$23.24,-1.61,-6.479%,1312270142,441270,Health Care,Biotechnology: Pharmaceutical Preparations,
AMNB,American National Bankshares Inc. Common Stock,$37.44,-0.14,-0.373%,403115244,16815,Finance,Major Banks,
AMOT,Allied Motion Technologies Inc.,$30.18,0.73,2.479%,466648713,35591,Capital Goods,Electrical Products,
AMPG,Amplitech Group Inc. Common Stock,$3.29,-0.03,-0.904%,31525152,29742,Capital Goods,Industrial Machinery/Components,
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,$34.74,-0.07,-0.201%,1657616043,657668,Health Care,Biotechnology: Pharmaceutical Preparations,
AMPL,Amplitude Inc. Class A Common Stock,$15.71,0.27,1.749%,1729200768,1533329,Technology,EDP Services,
AMRK,A-Mark Precious Metals Inc. Common Stock,$69.22,-0.2,-0.288%,789774519,150564,Finance,Investment Bankers/Brokers/Service,
AMRS,Amyris Inc. Common Stock,$3.96,0.04,1.02%,1234167502,4200427,Basic Industries,Industrial Specialties,
AMSC,American Superconductor Corporation Common Stock,$7.94,0.54,7.297%,225954527,292130,Capital Goods,Office Equipment/Supplies/Services,
AMSF,AMERISAFE Inc. Common Stock,$47.72,-0.24,-0.50%,924052657,92234,Finance,Accident &Health Insurance,
AMST,Amesite Inc. Common Stock,$0.5312,0.0107,2.056%,13672917,17442,Technology,Computer Software: Prepackaged Software,
AMSWA,American Software Inc. Class A Common Stock,$20.62,0.42,2.079%,691958743,59956,Technology,Computer Software: Prepackaged Software,
