Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
MOVE,Movano Inc. Common Stock,$2.7399,0.0599,2.235%,89792167,1036,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
MPAA,Motorcar Parts  of America Inc. Common Stock,$16.93,0,0.00%,323392644,42538,Capital Goods,Auto Parts:O.E.M.,
MPB,Mid Penn Bancorp Common Stock,$26.95,-0.08,-0.296%,430063519,25343,Finance,Major Banks,
MPRA,Mercato Partners Acquisition Corporation Class A Common Stock,$9.92,0,0.00%,285200000,1,,,
MPRAU,Mercato Partners Acquisition Corporation Unit,$10.03,0,0.00%,0,500,,,
MPRAW,Mercato Partners Acquisition Corporation Warrant,$0.30,-0.03,-9.091%,0,2800,,,
MPWR,Monolithic Power Systems Inc. Common Stock,$421.82,36.81,9.561%,19618426380,804951,Technology,Semiconductors,
MQ,Marqeta Inc. Class A Common Stock,$8.72,0.2,2.347%,4709997422,12257697,Technology,EDP Services,
MRAI,Marpai Inc. Class A Common Stock,$1.68,-0.05,-2.89%,34184465,46354,Health Care,Managed Health Care,
MRAM,Everspin Technologies Inc. Common Stock,$8.50,0.33,4.039%,169089123,148198,Technology,Electronic Components,
MRBK,Meridian Corporation Common Stock,$33.21,-0.44,-1.308%,202846680,8134,Finance,Major Banks,
MRCC,Monroe Capital Corporation Common Stock,$10.76,-0.03,-0.278%,233129818,50942,Finance,Investment Managers,
MRCY,Mercury Systems Inc Common Stock,$65.12,0.03,0.046%,3695805242,384794,,,
MRIN,Marin Software Incorporated Common Stock,$2.68,-0.03,-1.107%,41640602,609722,Technology,Computer Software: Prepackaged Software,
MRKR,Marker Therapeutics Inc. Common Stock,$0.3995,-0.0205,-4.881%,33189931,187354,Health Care,Biotechnology: Pharmaceutical Preparations,
MRNA,Moderna Inc. Common Stock,$148.12,-1.95,-1.299%,59695354394,13186667,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
MRNS,Marinus Pharmaceuticals Inc. Common Stock,$7.30,-0.05,-0.68%,268394392,84429,Health Care,Biotechnology: Pharmaceutical Preparations,
MRSN,Mersana Therapeutics Inc. Common Stock,$3.91,0.07,1.823%,326054141,1637166,Health Care,Biotechnology: Pharmaceutical Preparations,
MRTN,Marten Transport Ltd. Common Stock,$19.29,-0.19,-0.975%,1601855180,525064,Transportation,Trucking Freight/Courier Services,
MRTX,Mirati Therapeutics Inc. Common Stock,$77.32,1.5,1.978%,4290352341,452970,Health Care,Biotechnology: Pharmaceutical Preparations,
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock,$38.46,0.83,2.206%,5057081709,760518,Health Care,Biotechnology: Pharmaceutical Preparations,
MSAC,Medicus Sciences Acquisition Corp. Class A Ordinary Share,$9.7436,-0.0014,-0.014%,113171914,520,Finance,Business Services,
MSBI,Midland States Bancorp Inc. Common Stock,$29.36,-0.38,-1.278%,646842198,41353,Finance,Major Banks,
MSDA,MSD Acquisition Corp. Class A Ordinary Shares,$9.77,-0.03,-0.306%,702218750,47677,Finance,Business Services,
MSDAU,MSD Acquisition Corp. Unit,$9.89,-0.01,-0.101%,0,546,Finance,Business Services,
MSDAW,MSD Acquisition Corp. Warrant,$0.7248,0.0246,3.513%,0,100,Finance,Business Services,
MSEX,Middlesex Water Company Common Stock,$100.85,2.35,2.386%,1768462436,106762,Public Utilities,Water Supply,
MSFT,Microsoft Corporation Common Stock,$287.15,10.71,3.874%,2152725194800,34215092,Technology,Computer Software: Prepackaged Software,
MSGM,Motorsport Games Inc. Class A Common Stock,$1.50,-0.1,-6.25%,17510381,29207,,,
MSTR,MicroStrategy Incorporated Common Stock Class A,$396.14,26.21,7.085%,4470605883,377564,Technology,Computer Software: Prepackaged Software,
MSVB,Mid-Southern Bancorp Inc. Common Stock,$14.71,0.04,0.273%,44150638,371,Finance,Major Banks,
MTAC,MedTech Acquisition Corporation Class A Common Stock,$9.80,0.03,0.307%,306250000,155632,,,
MTACU,MedTech Acquisition Corporation Unit,$9.75,-0.07,-0.713%,0,804,,,
MTACW,MedTech Acquisition Corporation Warrant,$0.15,0,0.00%,0,53041,,,
MTBC,CareCloud Inc. Common Stock,$4.76,0.11,2.366%,84343720,65366,Health Care,Managed Health Care,
MTBCO,CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,$25.57,-0.0368,-0.144%,0,6365,Health Care,Managed Health Care,
MTBCP,CareCloud Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock,$25.50,0.12,0.473%,0,18969,Health Care,Managed Health Care,
MTCH,Match Group Inc. Common Stock,$87.57,2.51,2.951%,24970435580,3642271,,,
MTCR,Metacrine Inc. Common Stock,$0.443,-0.0106,-2.337%,18601971,1073862,Consumer Durables,Specialty Chemicals,
MTEM,Molecular Templates Inc. Common Stock,$2.35,0.08,3.524%,132316865,108565,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
MTEX,Mannatech Incorporated Common Stock,$32.50,0.03,0.092%,62457233,4389,Consumer Durables,Specialty Chemicals,
MTRX,Matrix Service Company Common Stock,$8.34,0.06,0.725%,223372430,417634,Consumer Services,Military/Government/Technical,
MTRY,Monterey Bio Acquisition Corporation Common Stock,$9.95,0,0.00%,143031250,9025,,,
MTRYW,Monterey Bio Acquisition Corporation Warrant,$0.225,-0.0003,-0.133%,0,400,,,
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,$56.22,2.25,4.169%,3917812135,319664,Technology,Semiconductors,
MTTR,Matterport Inc. Class A Common Stock,$6.81,0.17,2.56%,1772603911,5494224,Technology,Computer Software: Prepackaged Software,
MU,Micron Technology Inc. Common Stock,$73.11,3.71,5.346%,81866904512,22807399,Technology,Semiconductors,
MUDS,Mudrick Capital Acquisition Corporation II Class A Common Stock,$10.01,0,0.00%,395707813,26216,,,
MUDSU,Mudrick Capital Acquisition Corporation II Unit,$10.18,-0.02,-0.196%,0,100,,,
MUDSW,Mudrick Capital Acquisition Corporation II Warrant,$0.405,-0.005,-1.22%,0,2460,,,
MULN,Mullen Automotive Inc. Common Stock,$1.60,-0.17,-9.605%,55907686,228562991,Capital Goods,Auto Manufacturing,
MVBF,MVB Financial Corp. Common Stock,$39.06,-0.13,-0.332%,472482415,54349,Finance,Savings Institutions,
MVIS,MicroVision Inc. Common Stock,$3.85,0.08,2.122%,633825858,4117803,Capital Goods,Industrial Machinery/Components,
MVST,Microvast Holdings Inc. Common Stock,$7.65,0.11,1.459%,2298996314,988818,Capital Goods,Industrial Machinery/Components,
MVSTW,Microvast Holdings Inc. Warrants,$1.56,-0.025,-1.577%,0,123199,Capital Goods,Industrial Machinery/Components,
MXCT,MaxCyte Inc. Common Stock,$5.26,-0.03,-0.567%,528283008,522839,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
MXL,MaxLinear Inc. Common Stock,$54.53,3.42,6.691%,4187084578,513199,Technology,Semiconductors,
MYFW,First Western Financial Inc. Common Stock,$32.45,-0.05,-0.154%,305655344,15996,Finance,Major Banks,
MYGN,Myriad Genetics Inc. Common Stock,$24.04,-0.41,-1.677%,1923750155,556968,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
MYMD,MyMD Pharmaceuticals Inc. Common Stock,$3.34,-0.07,-2.053%,125717306,59002,Consumer Durables,Specialty Chemicals,
MYPS,PLAYSTUDIOS Inc.  Class A Common Stock,$3.94,-0.12,-2.956%,498033194,319758,Technology,EDP Services,
MYPSW,PLAYSTUDIOS Inc. Warrant,$0.6147,0.0247,4.186%,0,1644,Technology,EDP Services,
MYRG,MYR Group Inc. Common Stock,$94.40,0.91,0.973%,1600599200,78680,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction,
NAII,Natural Alternatives International Inc. Common Stock,$10.68,-0.14,-1.294%,65377385,9754,Consumer Non-Durables,Food Distributors,
