Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
A,Agilent Technologies Inc. Common Stock,$130.28,2.7,2.116%,39098770756,1649205,Capital Goods,Electrical Products,
AAIC,Arlington Asset Investment Corp Class A (new),$3.50,-0.06,-1.685%,106360037,75741,Consumer Services,Real Estate Investment Trusts,
AAIC^B,Arlington Asset Investment Corp 7.00% ,$22.82,-0.33,-1.425%,,1487,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$24.7201,0.0201,0.081%,,1164,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$24.81,0,0.00%,0,1190,,,
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,$24.90,0.11,0.444%,,16914,,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,$25.19,0.17,0.679%,,72634,,,
AAN,Aarons Holdings Company Inc. Common Stock ,$22.00,0.22,1.01%,681523128,235882,Miscellaneous,Diversified Commercial Services,
AAP,Advance Auto Parts Inc.,$204.27,5.1,2.561%,12480402462,814695,Consumer Services,Other Specialty Stores,
AAT,American Assets Trust Inc. Common Stock,$36.07,-0.06,-0.166%,2183094584,329656,Consumer Services,Real Estate Investment Trusts,
AB,AllianceBernstein Holding L.P.  Units,$42.85,0.41,0.966%,4253793502,397092,Finance,Investment Managers,
ABBV,AbbVie Inc. Common Stock,$155.88,3.78,2.485%,275713346865,8383562,Health Care,Other Pharmaceuticals,
ABC,AmerisourceBergen Corporation Common Stock,$151.39,5.24,3.585%,31661315376,1843023,Health Care,Other Pharmaceuticals,
ABG,Asbury Automotive Group Inc Common Stock,$185.50,3.91,2.153%,4301340054,254969,Consumer Services,Other Specialty Stores,
ABM,ABM Industries Incorporated Common Stock,$44.62,-1.4,-3.042%,2983697323,403481,Technology,Diversified Commercial Services,
ABR,Arbor Realty Trust Common Stock,$17.26,-0.01,-0.058%,2625469189,2755298,Consumer Services,Real Estate Investment Trusts,
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$21.50,0.53,2.527%,,36480,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$21.60,0.35,1.647%,,3509,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$23.75,-0.02,-0.084%,,119131,,,
ABT,Abbott Laboratories Common Stock,$117.48,1.96,1.697%,207173896727,5040913,Health Care,Medical/Dental Instruments,
AC,Associated Capital Group Inc. Common Stock,$40.90,0.67,1.665%,902175758,38602,Finance,Investment Bankers/Brokers/Service,
ACC,American Campus Communities Inc Common Stock,$54.46,0.66,1.227%,7578485482,687505,Consumer Services,Real Estate Investment Trusts,
ACCO,Acco Brands Corporation Common Stock,$8.26,-0.01,-0.121%,791731647,348494,Consumer Services,Advertising,
ACEL,Accel Entertainment Inc. ,$13.04,0.33,2.596%,1218073742,150571,Consumer Services,Recreational Products/Toys,
