Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
ACHR,Archer Aviation Inc. Class A Common Stock,$3.33,0.42,14.433%,790311544,2934713,Capital Goods,Aerospace,
ACI,Albertsons Companies Inc. Class A Common Stock,$35.58,0.31,0.879%,17371580374,1386685,Consumer Services,Food Chains,
ACM,AECOM Common Stock,$75.65,0.52,0.692%,10692581080,918517,Consumer Services,Military/Government/Technical,
ACP,Aberdeen Income Credit Strategies Fund Common Shares,$9.51,0.17,1.82%,221246527,114311,Finance,Investment Managers,
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$25.37,0.272,1.084%,,1957,,,
ACR,ACRES Commercial Realty Corp. Common Stock,$12.24,0.34,2.857%,108814151,23789,Consumer Services,Real Estate Investment Trusts,
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$24.73,0.81,3.386%,,3636,,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$24.30,0.07,0.289%,,537,,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.78,-0.04,-0.27%,697942150,305379,Consumer Services,Real Estate Investment Trusts,
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$23.435,0.025,0.107%,242644115,50887,Finance,Finance/Investors Services,
ADC,Agree Realty Corporation Common Stock,$63.51,0.56,0.89%,4527330102,318812,Consumer Services,Real Estate Investment Trusts,
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$19.52,0.17,0.879%,,2210,,,
ADM,Archer-Daniels-Midland Company Common Stock,$82.81,0.24,0.291%,46553013827,3693002,,,
ADS,Alliance Data Systems Corporation Common Stock,$58.30,2.47,4.424%,2911976912,1197537,Finance,Diversified Financial Services,
ADT,ADT Inc. Common Stock,$7.46,0.13,1.774%,6796511173,2377426,Consumer Services,Diversified Commercial Services,
ADX,Adams Diversified Equity Fund Inc.,$17.33,0.37,2.182%,2041981873,201958,Finance,Investment Managers,
AEE,Ameren Corporation Common Stock,$88.46,1.08,1.236%,22798334304,1262057,Public Utilities,Power Generation,
AEL,American Equity Investment Life Holding Company Common Stock,$38.20,-0.12,-0.313%,3703458447,501283,Finance,Life Insurance,
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,$25.09,-0.0028,-0.011%,,22276,,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,$25.68,-0.0371,-0.144%,,10598,,,
AEO,American Eagle Outfitters Inc. Common Stock,$18.06,0.25,1.404%,3045307198,5300209,Consumer Services,Clothing/Shoe/Accessory Stores,
AES,The AES Corporation Common Stock,$22.34,0.62,2.855%,14909607472,4247699,Public Utilities,Electric Utilities: Central,
AESC,The AES Corporation Corporate Units,$88.91,1.14,1.299%,0,14098,Public Utilities,Electric Utilities: Central,
AFB,AllianceBernstein National Municipal Income Fund Inc,$12.61,0.06,0.478%,362473643,75456,Finance,Trusts Except Educational Religious and Charitable,
AFG,American Financial Group Inc. Common Stock,$139.31,2.27,1.656%,11831897956,398469,Finance,Property-Casualty Insurers,
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$25.33,0.0743,0.294%,0,6970,Finance,Property-Casualty Insurers,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$25.31,0.27,1.078%,25260899,10355,Finance,Real Estate,
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$25.14,0.22,0.883%,0,2966,,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$21.70,-0.16,-0.732%,0,1970,,,
AFL,AFLAC Incorporated Common Stock,$61.26,0.42,0.69%,39810477203,2168096,Finance,Accident &Health Insurance,
AGCO,AGCO Corporation Common Stock,$126.94,-1.81,-1.406%,9461701900,1143372,Capital Goods,Industrial Machinery/Components,
AGD,Aberdeen Global Dynamic Dividend Fund,$10.43,0.09,0.87%,130892140,37159,Finance,Trusts Except Educational Religious and Charitable,
AGM,Federal Agricultural Mortgage Corporation Common Stock,$128.50,-0.23,-0.179%,1383515682,50973,Finance,Finance Companies,
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,$25.82,0,0.00%,,50,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,$24.90,0.0546,0.22%,,8408,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,$25.00,0.08,0.321%,,8609,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,$23.67,0.26,1.111%,,13148,,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,$22.80,-0.5,-2.146%,,10309,,,
AGR,Avangrid Inc. Common Stock,$44.73,0.38,0.857%,17291611307,478636,Public Utilities,Electric Utilities: Central,
AGS,PlayAGS Inc. Common Stock,$7.00,0.14,2.041%,258775370,365055,Consumer Services,Recreational Products/Toys,
AGX,Argan Inc. Common Stock,$40.44,0.06,0.149%,635504288,92683,Capital Goods,Oilfield Services/Equipment,
AHH,Armada Hoffler Properties Inc. Common Stock,$14.83,0,0.00%,998419562,383561,Consumer Services,Real Estate Investment Trusts,
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,$25.90,0.1,0.388%,,1051,,,
AHT,Ashford Hospitality Trust Inc Common Stock,$8.45,0.37,4.579%,291469475,837931,Consumer Services,Real Estate Investment Trusts,
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,$23.7501,0.0409,0.173%,,3056,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,$22.375,-0.505,-2.207%,,424,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,$21.6736,-0.8266,-3.674%,,800,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,$21.30,0,0.00%,,32,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,$21.97,0,0.00%,,3,,,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$25.04,-0.04,-0.159%,0,2924,Consumer Services,Real Estate Investment Trusts,
AIG,American International Group Inc. New Common Stock,$58.55,1.04,1.808%,50442331726,3901258,Finance,Life Insurance,
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,$25.27,0.37,1.486%,,133825,,,
AIN,Albany International Corporation Common Stock,$85.35,0.31,0.365%,2719259876,108864,Basic Industries,Textiles,
AIR,AAR Corp. Common Stock,$43.92,-0.42,-0.947%,1557792814,322169,Capital Goods,Aerospace,
AIT,Applied Industrial Technologies Inc. Common Stock,$101.76,0.61,0.603%,3913335373,121981,Capital Goods,Industrial Machinery/Components,
AIV,Apartment Investment and Management Company Common Stock,$7.27,0.28,4.006%,1109084090,2193151,Consumer Services,Real Estate Investment Trusts,
AIZ,Assurant Inc. Common Stock,$173.51,2.87,1.682%,9571094248,332485,Finance,Specialty Insurers,
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,$22.86,-0.0137,-0.06%,0,30607,Finance,Accident &Health Insurance,
AJG,Arthur J. Gallagher & Co. Common Stock,$158.56,3.82,2.469%,33066419520,1034073,Finance,Specialty Insurers,
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,$37.78,-0.35,-0.918%,3042959763,752792,Capital Goods,Military/Government/Technical,
AJX,Great Ajax Corp. Common Stock,$11.25,0.14,1.26%,260429423,75508,Consumer Services,Real Estate Investment Trusts,
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,$24.99,0.14,0.563%,0,3784,Consumer Services,Real Estate Investment Trusts,
AKR,Acadia Realty Trust Common Stock,$21.56,0.04,0.186%,2017950091,739955,Consumer Services,Real Estate Investment Trusts,
AL,Air Lease Corporation Class A Common Stock,$39.89,1.47,3.826%,4549354177,1529018,Technology,Diversified Commercial Services,
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,$23.40,0.14,0.602%,,40245,,,
ALB,Albemarle Corporation Common Stock,$181.95,5.66,3.211%,21294812099,834372,Basic Industries,Industrial Specialties,
ALE,Allete Inc.,$66.46,1.12,1.714%,3538574375,201906,Public Utilities,Power Generation,
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$23.45,0.28,1.208%,1704354536,477541,Consumer Services,Real Estate Investment Trusts,
ALG,Alamo Group Inc. Common Stock,$146.50,1.11,0.763%,1748419193,33872,Capital Goods,Industrial Machinery/Components,
ALK,Alaska Air Group Inc. Common Stock,$51.74,2.14,4.315%,6514708921,2710633,Transportation,Air Freight/Delivery Services,
ALL,Allstate Corporation (The) Common Stock,$127.13,1.25,0.993%,35386134608,1699597,Finance,Property-Casualty Insurers,
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,$25.14,0.08,0.319%,,41932,,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,$25.40,0.06,0.237%,,17832,,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,$24.00,0.04,0.167%,,228228,,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,$23.545,0.135,0.577%,,37662,,,
ALLE,Allegion plc Ordinary Shares,$114.47,2.52,2.251%,10099738696,611490,Consumer Services,Diversified Commercial Services,
ALLY,Ally Financial Inc. Common Stock,$41.44,-0.21,-0.504%,13807621727,5807566,Finance,Diversified Financial Services,
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),$25.10,0.03,0.12%,,14169,,,
ALSN,Allison Transmission Holdings Inc. Common Stock,$38.59,-0.92,-2.329%,3774841153,1530458,Capital Goods,Auto Parts:O.E.M.,
ALX,Alexander's Inc. Common Stock,$249.91,0.07,0.028%,1276362844,7297,Consumer Services,Real Estate Investment Trusts,
AM,Antero Midstream Corporation Common Stock,$9.67,-0.07,-0.719%,4619192193,3539016,Public Utilities,Natural Gas Distribution,
AMBC,Ambac Financial Group Inc. Common Stock,$12.38,0.27,2.23%,573652134,750172,Finance,Property-Casualty Insurers,
AME,AMETEK Inc.,$129.38,2.29,1.802%,29977461536,1228427,Consumer Durables,Metal Fabrications,
AMG,Affiliated Managers Group Inc. Common Stock,$130.26,2.18,1.702%,5181553011,189732,Finance,Investment Managers,
AMK,AssetMark Financial Holdings Inc. Common Stock,$21.13,0.07,0.332%,1554396776,46750,Finance,Finance/Investors Services,
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,$101.44,5.83,6.098%,4731293472,896216,Health Care,Assisted Living Services,
AMP,Ameriprise Financial Inc. Common Stock,$279.59,5.99,2.189%,30964856713,578258,Finance,Investment Managers,
AMPY,Amplify Energy Corp. Common Stock,$5.40,-0.23,-4.085%,205546756,1263970,Energy,Oil & Gas Production,
AMR,Alpha Metallurgical Resources Inc. Common Stock,$113.44,0.09,0.079%,2102382612,892474,Energy,Coal Mining,
AMRC,Ameresco Inc. Class A Common Stock,$70.39,1.72,2.505%,3640874111,249256,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction,
AMT,American Tower Corporation (REIT) Common Stock,$236.21,1.28,0.545%,107684550025,1422042,Consumer Services,Real Estate Investment Trusts,
AMWL,American Well Corporation Class A Common Stock,$3.29,0.23,7.516%,866305873,3633267,Technology,Retail: Computer Software & Peripheral Equipment,
AN,AutoNation Inc. Common Stock,$115.24,2.18,1.928%,7072458459,643177,Consumer Services,Other Specialty Stores,
ANF,Abercrombie & Fitch Company Common Stock,$30.00,0.59,2.006%,1589550000,1632399,Consumer Services,Clothing/Shoe/Accessory Stores,
ANTM,Anthem Inc. Common Stock,$467.69,9.36,2.042%,112855640338,1303878,Health Care,Medical Specialities,
ANVS,Annovis Bio Inc. Common Stock,$12.58,0.18,1.452%,102702151,29313,Consumer Durables,Specialty Chemicals,
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,$9.00,0.16,1.81%,948878991,463969,Finance,Investment Managers,
AON,Aon plc Class A Ordinary Shares (Ireland),$307.62,10.36,3.485%,65813594785,1600471,Finance,Specialty Insurers,
AORT,Artivion Inc. Common Stock,$19.52,0.27,1.403%,783054970,99670,Health Care,Medical/Dental Instruments,
AOS,A.O. Smith Corporation Common Stock,$66.14,0.26,0.395%,10385483230,759261,Capital Goods,Industrial Machinery/Components,
AP,Ampco-Pittsburgh Corporation Common Stock,$6.40,0,0.00%,122200205,20976,Capital Goods,Metal Fabrications,
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$36.39,0.05,0.138%,2420484016,707836,Finance,Investment Managers,
APD,Air Products and Chemicals Inc. Common Stock,$222.63,4.36,1.998%,49360941868,2133518,Basic Industries,Specialty Chemicals,
APH,Amphenol Corporation Common Stock,$73.43,1.94,2.714%,43980147531,3795837,Capital Goods,Electrical Products,
APLE,Apple Hospitality REIT Inc. Common Shares,$17.91,0.07,0.392%,4088058548,1734130,Consumer Services,Real Estate Investment Trusts,
APRN,Blue Apron Holdings Inc. Class A Common Stock,$4.45,0.04,0.907%,144802426,701639,Consumer Services,Catalog/Specialty Distribution,
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,$9.89,0,0.00%,1009781363,29881,Finance,Business Services,
APTS,Preferred Apartment Communities Inc. Common Stock,$25.10,0.04,0.16%,1398941572,1734610,Consumer Services,Real Estate Investment Trusts,
AQUA,Evoqua Water Technologies Corp. Common Stock,$43.34,1.9,4.585%,5237640994,592305,Capital Goods,Office Equipment/Supplies/Services,
ARC,ARC Document Solutions Inc. Common Stock,$3.76,0.04,1.075%,162443746,139131,Miscellaneous,Business Services,
ARCH,Arch Resources Inc. Class A Common Stock,$141.47,3.31,2.396%,2177655208,919097,Energy,Coal Mining,
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,$13.80,0.19,1.396%,316227000,126007,Finance,Investment Managers,
ARE,Alexandria Real Estate Equities Inc. Common Stock,$190.76,2.33,1.237%,30510789822,703056,Consumer Services,Real Estate Investment Trusts,
ARI,Apollo Commercial Real Estate Finance Inc,$13.50,0.06,0.446%,1897309022,711484,Consumer Services,Real Estate Investment Trusts,
ARL,American Realty Investors Inc. Common Stock,$13.55,0,0.00%,218860183,170,Consumer Services,Building operators,
ARLO,Arlo Technologies Inc. Common Stock,$9.33,0.21,2.303%,791142472,746970,Miscellaneous,Diversified Manufacture,
AROC,Archrock Inc. Common Stock,$8.39,-0.39,-4.442%,1302389080,926700,Energy,Oil & Gas Production,
ARR,ARMOUR Residential REIT Inc.,$8.43,0.01,0.119%,809329391,2657432,Consumer Services,Real Estate Investment Trusts,
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),$23.62,-0.03,-0.127%,,24881,,,
ARW,Arrow Electronics Inc. Common Stock,$122.29,2.31,1.925%,8278186019,431309,Technology,Electronic Components,
ASA,ASA  Gold and Precious Metals Limited,$21.50,-0.22,-1.013%,414732958,78691,Basic Industries,Precious Metals,
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,$9.85,0,0.00%,307812500,23498,,,
ASB,Associated Banc-Corp Common Stock,$23.12,-0.31,-1.323%,3458863415,1477695,Finance,Major Banks,
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,$25.27,-0.0799,-0.315%,,2495,,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,$24.47,0.11,0.452%,,7271,,,
ASG,Liberty All-Star Growth Fund Inc.,$6.67,0.18,2.773%,368691213,192024,Finance,Investment Managers,
ASGN,ASGN Incorporated Common Stock,$110.41,2.41,2.231%,5697156000,301704,Technology,EDP Services,
ASH,Ashland Global Holdings Inc. Common Stock,$90.51,2.2,2.491%,5088813151,696745,Basic Industries,Specialty Chemicals,
ASIX,AdvanSix Inc. Common Stock ,$49.42,0.29,0.59%,1390738252,395098,Basic Industries,Major Chemicals,
ASPN,Aspen Aerogels Inc. Common Stock,$28.15,1.83,6.953%,935545995,705848,Capital Goods,Wholesale Distributors,
ATGE,Adtalem Global Education Inc. Common Stock,$26.85,1.37,5.377%,1337322300,532155,Miscellaneous,Other Consumer Services,
ATI,Allegheny Technologies Incorporated Common Stock,$26.37,0.63,2.448%,3360794821,1972608,Basic Industries,Steel/Iron Ore,
ATKR,Atkore Inc. Common Stock,$101.55,1.13,1.125%,4555133198,297309,Technology,Electrical Products,
ATO,Atmos Energy Corporation Common Stock,$114.11,1.25,1.108%,15454177128,1193652,Public Utilities,Oil/Gas Transmission,
ATR,AptarGroup Inc. Common Stock,$116.81,2.29,2.00%,7658311821,199537,Health Care,Medical/Dental Instruments,
ATUS,Altice USA Inc. Class A Common Stock,$11.03,0.18,1.659%,5014837525,3453091,Public Utilities,Telecommunications Equipment,
AUD,Audacy Common Stock,$2.91,0.05,1.748%,419321944,349956,Consumer Services,Broadcasting,
AVA,Avista Corporation Common Stock,$45.45,-0.08,-0.176%,3252973307,436742,Public Utilities,Power Generation,
AVB,AvalonBay Communities Inc. Common Stock,$240.22,0.9,0.376%,33571342187,533589,Consumer Services,Real Estate Investment Trusts,
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),$17.28,-0.37,-2.096%,534531174,242298,Basic Industries,Agricultural Chemicals,
AVK,Advent Convertible and Income Fund,$14.64,0.19,1.315%,505449250,131054,Finance,Trusts Except Educational Religious and Charitable,
AVLR,Avalara Inc. Common Stock,$77.68,1.84,2.426%,6795956991,1510029,Technology,EDP Services,
AVNS,Avanos Medical Inc. Common Stock,$31.75,0.45,1.438%,1502343833,322467,Health Care,Industrial Specialties,
AVNT,Avient Corporation Common Stock,$48.60,0.18,0.372%,4451998772,419367,Basic Industries,Major Chemicals,
AVY,Avery Dennison Corporation Common Stock,$167.13,1.2,0.723%,13764046804,479559,Miscellaneous,Office Equipment/Supplies/Services,
AWF,Alliancebernstein Global High Income Fund,$10.41,0.08,0.774%,897650938,188971,Finance,Trusts Except Educational Religious and Charitable,
AWI,Armstrong World Industries Inc Common Stock,$90.87,1.05,1.169%,4278534620,360038,,,
AWK,American Water Works Company Inc. Common Stock,$155.95,3.33,2.182%,28340012346,677090,Public Utilities,Water Supply,
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,$6.06,0.11,1.849%,517572183,589005,Finance,Trusts Except Educational Religious and Charitable,
AWR,American States Water Company Common Stock,$85.97,1.96,2.333%,3176198961,215944,Public Utilities,Water Supply,
AX,Axos Financial Inc. Common Stock,$47.63,0.28,0.591%,2834075449,426387,Finance,Savings Institutions,
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,$8.05,-0.01,-0.124%,918327393,2060691,Capital Goods,Auto Parts:O.E.M.,
AXP,American Express Company Common Stock,$176.04,3.25,1.881%,133676853144,3825288,Finance,Finance: Consumer Services,
AXR,AMREP Corporation Common Stock,$10.41,-0.04,-0.383%,76371612,29439,Consumer Services,Homebuilding,
AXTA,Axalta Coating Systems Ltd. Common Shares,$23.75,0.08,0.338%,5332657800,2240987,Basic Industries,Paints/Coatings,
AYI,Acuity Brands Inc. ,$184.39,2.88,1.587%,6457008295,232346,Consumer Durables,Building Products,
AYX,Alteryx Inc. Class A Common Stock,$57.27,3.03,5.586%,3873551633,1666244,Technology,Computer Software: Prepackaged Software,
AZEK,The AZEK Company Inc. Class A Common Stock,$25.42,1.04,4.266%,3941135789,1935417,,,
AZO,AutoZone Inc. Common Stock,$1923.94,54.71,2.927%,38415309980,181200,,,
AZZ,AZZ Inc.,$48.26,-0.34,-0.70%,1191669605,114377,Capital Goods,Industrial Machinery/Components,
B,Barnes Group Inc. Common Stock,$40.38,-0.61,-1.488%,2046958991,390385,Capital Goods,Office Equipment/Supplies/Services,
BA,Boeing Company (The) Common Stock,$179.89,4.37,2.49%,104875827726,8038826,Capital Goods,Aerospace,
BAC,Bank of America Corporation Common Stock,$41.50,0.3,0.728%,358030980908,41373255,Finance,Major Banks,
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,$25.61,0.12,0.471%,,57544,,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,$21.68,0.18,0.837%,,31124,,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,$25.45,0.1,0.394%,,69184,,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,$1293.00,4.86,0.377%,,35608,,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,$24.99,0.24,0.97%,,124981,,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,$23.56,0.15,0.641%,,172396,,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,$20.80,0,0.00%,,153550,,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,$20.10,0.18,0.904%,,122226,,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,$20.3892,0.0792,0.39%,,128149,,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,$23.02,-0.275,-1.181%,,170050,,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,$84.95,1.46,1.749%,11320240596,688685,Consumer Services,Professional Services,
BANC,Banc of California Inc. Common Stock,$19.14,-0.09,-0.468%,1199459548,213394,Finance,Major Banks,
BAX,Baxter International Inc. Common Stock,$78.67,0.68,0.872%,39515439400,1720681,Health Care,Medical/Dental Instruments,
BBDC,Barings BDC Inc. Common Stock,$10.12,-0.02,-0.197%,1126488268,862670,Finance,Investment Managers,
BBLN,Babylon Holdings Limited Class A Ordinary Shares,$4.54,0.02,0.442%,1877573119,323170,,,
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,$21.12,0.04,0.19%,1260466458,306976,Finance,Finance Companies,
BBW,Build-A-Bear Workshop Inc. Common Stock,$16.84,0.88,5.514%,274960977,557205,Consumer Services,Recreational Products/Toys,
BBWI,Bath & Body Works Inc.,$47.12,0.7,1.508%,11501942618,4364546,Miscellaneous,Diversified Commercial Services,
BBY,Best Buy Co. Inc. Common Stock,$99.06,4.42,4.67%,23829962556,2970937,Consumer Services,Consumer Electronics/Video Chains,
BC,Brunswick Corporation Common Stock,$88.01,2.31,2.695%,6738333393,871777,Basic Industries,Homebuilding,
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,$26.6575,0.2475,0.937%,,11010,,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,$25.7696,0.2064,0.807%,,5627,,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,$25.94,-0.0272,-0.105%,,3521,,,
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,$15.96,0.18,1.141%,1781733830,508873,Finance,Finance/Investors Services,
BCC,Boise Cascade L.L.C. Common Stock,$77.78,2.37,3.143%,3059150168,328339,,,
BCO,Brinks Company (The) Common Stock,$64.68,0.15,0.232%,3075425208,348634,Miscellaneous,Diversified Manufacture,
BCSF,Bain Capital Specialty Finance Inc. Common Stock,$15.78,-0.01,-0.063%,1018792542,145485,Finance,Finance/Investors Services,
BCX,BlackRock Resources Common Shares of Beneficial Interest,$9.83,-0.31,-3.057%,868146221,593646,Finance,Finance/Investors Services,
BDC,Belden Inc Common Stock,$56.49,1.6,2.915%,2541587403,261249,Capital Goods,Telecommunications Equipment,
